source,target,weight
Pollock,Crazy Heart,1
Pollock,Inglourious Basterds,1
Pollock,The Blind Side,2
Pollock,The Young Victoria,2
Pollock,The Hurt Locker,1
Pollock,The Secret in Their Eyes,1
"Crouching Tiger, Hidden Dragon",Wonder Boys,1
"Crouching Tiger, Hidden Dragon",Training Day,1
"Crouching Tiger, Hidden Dragon",Iris,2
"Crouching Tiger, Hidden Dragon",Monster's Ball,2
"Crouching Tiger, Hidden Dragon",A Beautiful Mind,1
"Crouching Tiger, Hidden Dragon",The Lord of the Rings: The Fellowship of the Ring,2
"Crouching Tiger, Hidden Dragon",Black Hawk Down,1
"Crouching Tiger, Hidden Dragon",The Pianist,1
"Crouching Tiger, Hidden Dragon",The Hours,2
"Crouching Tiger, Hidden Dragon",Road to Perdition,1
"Crouching Tiger, Hidden Dragon",Nowhere in Africa,1
"Crouching Tiger, Hidden Dragon",Frida,2
"Crouching Tiger, Hidden Dragon",8 Mile,1
"Crouching Tiger, Hidden Dragon",The Lord of the Rings: The Two Towers,2
"Crouching Tiger, Hidden Dragon",Mystic River,1
"Crouching Tiger, Hidden Dragon",Monster,1
"Crouching Tiger, Hidden Dragon",Cold Mountain,2
"Crouching Tiger, Hidden Dragon",The Lord of the Rings: The Return of the King,2
"Crouching Tiger, Hidden Dragon",Master and Commander: The Far Side of the World,2
"Crouching Tiger, Hidden Dragon",The Barbarian Invasions,2
"Crouching Tiger, Hidden Dragon",Ray,1
"Crouching Tiger, Hidden Dragon",Million Dollar Baby,1
"Crouching Tiger, Hidden Dragon",The Aviator,1
"Crouching Tiger, Hidden Dragon",The Incredibles,1
"Crouching Tiger, Hidden Dragon",The Sea Inside,2
"Crouching Tiger, Hidden Dragon",Spider-Man 2,2
"Crouching Tiger, Hidden Dragon",Sideways,2
"Crouching Tiger, Hidden Dragon",Capote,1
"Crouching Tiger, Hidden Dragon",Syriana,1
"Crouching Tiger, Hidden Dragon",Walk the Line,2
"Crouching Tiger, Hidden Dragon",The Constant Gardener,2
"Crouching Tiger, Hidden Dragon",Memoirs of a Geisha,2
"Crouching Tiger, Hidden Dragon",Brokeback Mountain,2
"Crouching Tiger, Hidden Dragon",Crash,1
"Crouching Tiger, Hidden Dragon",Tsotsi,1
"Crouching Tiger, Hidden Dragon",Hustle & Flow,1
"Crouching Tiger, Hidden Dragon",King Kong,3
"Crouching Tiger, Hidden Dragon",The Last King of Scotland,1
"Crouching Tiger, Hidden Dragon",Little Miss Sunshine,1
"Crouching Tiger, Hidden Dragon",The Queen,1
"Crouching Tiger, Hidden Dragon",Dreamgirls,1
"Crouching Tiger, Hidden Dragon",Happy Feet,1
"Crouching Tiger, Hidden Dragon",Pan's Labyrinth,1
"Crouching Tiger, Hidden Dragon",Marie Antoinette,2
"Crouching Tiger, Hidden Dragon",The Departed,1
"Crouching Tiger, Hidden Dragon",The Lives of Others,1
"Crouching Tiger, Hidden Dragon",Pirates of the Caribbean: Dead Man's Chest,1
"Crouching Tiger, Hidden Dragon",There Will Be Blood,1
"Crouching Tiger, Hidden Dragon",No Country for Old Men,1
"Crouching Tiger, Hidden Dragon",Michael Clayton,1
"Crouching Tiger, Hidden Dragon",Elizabeth: The Golden Age,1
"Crouching Tiger, Hidden Dragon",The Bourne Ultimatum,1
"Crouching Tiger, Hidden Dragon",Once,2
"Crouching Tiger, Hidden Dragon",Milk,1
"Crouching Tiger, Hidden Dragon",The Dark Knight,2
"Crouching Tiger, Hidden Dragon",The Reader,2
"Crouching Tiger, Hidden Dragon",Vicky Cristina Barcelona,2
"Crouching Tiger, Hidden Dragon",The Curious Case of Benjamin Button,2
"Crouching Tiger, Hidden Dragon",Slumdog Millionaire,2
"Crouching Tiger, Hidden Dragon",The Duchess,2
"Crouching Tiger, Hidden Dragon",Crazy Heart,2
"Crouching Tiger, Hidden Dragon",Inglourious Basterds,1
"Crouching Tiger, Hidden Dragon",The Blind Side,1
"Crouching Tiger, Hidden Dragon",Avatar,1
"Crouching Tiger, Hidden Dragon",The Young Victoria,2
"Crouching Tiger, Hidden Dragon",The Hurt Locker,1
"Crouching Tiger, Hidden Dragon",The Secret in Their Eyes,1
"Crouching Tiger, Hidden Dragon",Star Trek,1
Wonder Boys,Training Day,1
Wonder Boys,Iris,1
Wonder Boys,Monster's Ball,1
Wonder Boys,A Beautiful Mind,1
Wonder Boys,Shrek,1
Wonder Boys,The Lord of the Rings: The Fellowship of the Ring,1
Wonder Boys,Black Hawk Down,1
Wonder Boys,"Monsters, Inc.",1
Wonder Boys,The Pianist,1
Wonder Boys,The Hours,1
Wonder Boys,Chicago,1
Wonder Boys,Road to Perdition,1
Wonder Boys,Nowhere in Africa,1
Wonder Boys,Frida,1
Wonder Boys,8 Mile,1
Wonder Boys,The Lord of the Rings: The Two Towers,1
Wonder Boys,Mystic River,1
Wonder Boys,Monster,1
Wonder Boys,Cold Mountain,1
Wonder Boys,Finding Nemo,1
Wonder Boys,The Lord of the Rings: The Return of the King,1
Wonder Boys,Master and Commander: The Far Side of the World,1
Wonder Boys,The Barbarian Invasions,2
Wonder Boys,Ray,1
Wonder Boys,Million Dollar Baby,1
Wonder Boys,The Aviator,1
Wonder Boys,The Sea Inside,1
Wonder Boys,Sideways,2
Wonder Boys,Capote,1
Wonder Boys,Syriana,1
Wonder Boys,Walk the Line,1
Wonder Boys,The Constant Gardener,1
Wonder Boys,Memoirs of a Geisha,1
Wonder Boys,Brokeback Mountain,1
Wonder Boys,Crash,1
Wonder Boys,Tsotsi,1
Wonder Boys,Hustle & Flow,1
Wonder Boys,King Kong,1
Wonder Boys,The Last King of Scotland,1
Wonder Boys,Little Miss Sunshine,2
Wonder Boys,The Queen,1
Wonder Boys,Dreamgirls,1
Wonder Boys,Happy Feet,1
Wonder Boys,Pan's Labyrinth,1
Wonder Boys,Marie Antoinette,1
Wonder Boys,The Departed,1
Wonder Boys,The Lives of Others,1
Wonder Boys,There Will Be Blood,1
Wonder Boys,No Country for Old Men,1
Wonder Boys,Michael Clayton,1
Wonder Boys,Ratatouille,1
Wonder Boys,Elizabeth: The Golden Age,1
Wonder Boys,Once,1
Wonder Boys,Milk,1
Wonder Boys,The Dark Knight,1
Wonder Boys,The Reader,1
Wonder Boys,Vicky Cristina Barcelona,1
Wonder Boys,The Curious Case of Benjamin Button,1
Wonder Boys,Slumdog Millionaire,1
Wonder Boys,The Duchess,1
Wonder Boys,Crazy Heart,1
Wonder Boys,Inglourious Basterds,1
Wonder Boys,The Blind Side,1
Wonder Boys,Up,1
Wonder Boys,The Young Victoria,1
Wonder Boys,The Hurt Locker,1
Wonder Boys,The Secret in Their Eyes,1
Training Day,Iris,1
Training Day,Monster's Ball,1
Training Day,A Beautiful Mind,1
Training Day,The Lord of the Rings: The Fellowship of the Ring,1
Training Day,Black Hawk Down,1
Training Day,The Pianist,1
Training Day,The Hours,1
Training Day,Chicago,1
Training Day,Road to Perdition,3
Training Day,Nowhere in Africa,1
Training Day,Frida,1
Training Day,8 Mile,1
Training Day,The Lord of the Rings: The Two Towers,1
Training Day,Mystic River,3
Training Day,Monster,3
Training Day,Cold Mountain,1
Training Day,The Lord of the Rings: The Return of the King,1
Training Day,Master and Commander: The Far Side of the World,1
Training Day,The Barbarian Invasions,2
Training Day,Ray,1
Training Day,Million Dollar Baby,1
Training Day,The Aviator,1
Training Day,The Sea Inside,1
Training Day,Sideways,1
Training Day,Capote,2
Training Day,Syriana,2
Training Day,Walk the Line,1
Training Day,The Constant Gardener,2
Training Day,Memoirs of a Geisha,1
Training Day,Brokeback Mountain,1
Training Day,Crash,3
Training Day,Tsotsi,2
Training Day,Hustle & Flow,2
Training Day,King Kong,1
Training Day,The Last King of Scotland,2
Training Day,Little Miss Sunshine,1
Training Day,The Queen,1
Training Day,Dreamgirls,1
Training Day,Pan's Labyrinth,1
Training Day,Marie Antoinette,1
Training Day,The Departed,3
Training Day,The Lives of Others,2
Training Day,There Will Be Blood,1
Training Day,No Country for Old Men,3
Training Day,Michael Clayton,3
Training Day,Elizabeth: The Golden Age,1
Training Day,The Bourne Ultimatum,1
Training Day,Once,1
Training Day,Milk,1
Training Day,The Dark Knight,3
Training Day,The Reader,1
Training Day,Vicky Cristina Barcelona,1
Training Day,The Curious Case of Benjamin Button,1
Training Day,Slumdog Millionaire,1
Training Day,The Duchess,1
Training Day,Crazy Heart,1
Training Day,Inglourious Basterds,1
